ID,MAX SPEED,MAX SPEED RAW,MAX SPEED DATE TIME,THRESHOLD MESSAGE (MAX),MIN SPEED,MIN SPEED RAW,MIN SPEED DATE TIME,THRESHOLD MESSAGE (MIN)
10254,3.01 Mbit/s,376243.7427,09-02-2024 15:24,not_Set,0.12 Mbit/s,14531.8,09-02-2024 18:56,not_set
10256,380 Mbit/s,47482388.86,09-02-2024 15:01,not_Set,18 Mbit/s,2250494.282,09-02-2024 15:54,not_set
10693,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10693
10336,3.45 Mbit/s,431711.852,09-02-2024 15:23,not_Set,0.02 Mbit/s,2775.6252,09-02-2024 19:14,not_set
10335,55 Mbit/s,6845461.267,09-02-2024 14:10,not_Set,2.89 Mbit/s,361756.2094,09-02-2024 18:59,not_set
10375,3.72 Mbit/s,465407.4167,09-02-2024 14:40,not_Set,0.08 Mbit/s,9483.6194,09-02-2024 19:15,not_set
10376,0.79 Mbit/s,99034.6167,09-02-2024 19:02,not_Set,0.60 Mbit/s,74822.7205,09-02-2024 16:08,not_set
10372,14 Mbit/s,1804700.834,09-02-2024 15:27,not_Set,0.08 Mbit/s,10188.1686,09-02-2024 18:11,not_set
10373,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10373
10374,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10374
10686,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
10687,0 Mbit/s,0,09-02-2024 13:48,not_Set,0 Mbit/s,0,09-02-2024 13:48,not_set
3606,100 Mbit/s,12464120.5,09-02-2024 16:02,MAX SPEED for ID 3606 is within both Upper Error Limit(210.0 Mbit/s) and Upper Warning Limit(150.0 Mbit/s),7.58 Mbit/s,947679.9167,09-02-2024 19:01,not_set
7945,99 Mbit/s,12437124.47,09-02-2024 16:03,MAX SPEED for ID 7945 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),7.46 Mbit/s,933045.6167,09-02-2024 19:01,not_set
7947,0.68 Mbit/s,84547.5087,09-02-2024 16:03,MAX SPEED for ID 7947 is within both Upper Error Limit(8000.0 Mbit/s) and Upper Warning Limit(7000.0 Mbit/s),0.01 Mbit/s,1805.9343,09-02-2024 14:04,not_set
7946,0 Mbit/s,0,09-02-2024 13:48,MAX SPEED for ID 7946 is within both Upper Error Limit(510.0 Mbit/s) and Upper Warning Limit(450.0 Mbit/s),0 Mbit/s,0,09-02-2024 13:48,MIN SPEED for ID 7946 is below Lower Error Limit(0.03 Mbit/s)
5330,3.48 Mbit/s,435450.6335,09-02-2024 14:04,not_Set,0.13 Mbit/s,15668.028,09-02-2024 16:42,not_set
8029,0 Mbit/s,0,09-02-2024 13:48,MAX SPEED for ID 8029 is within both Upper Error Limit(210.0 Mbit/s) and Upper Warning Limit(150.0 Mbit/s),0 Mbit/s,0,09-02-2024 13:48,MIN SPEED for ID 8029 is below Lower Error Limit(0.03 Mbit/s)
5535,87 Mbit/s,10899179.7,09-02-2024 16:03,MAX SPEED for ID 5535 is within both Upper Error Limit(200.0 Mbit/s) and Upper Warning Limit(150.0 Mbit/s),7.07 Mbit/s,883408.218,09-02-2024 19:10,not_set
5536,< 0.01,667.9226,09-02-2024 15:11,,,,,Error processing CSV data for ID 5536: could not convert string to float: '<'
4241,0.54 Mbit/s,67551.2415,09-02-2024 16:03,not_Set,0.01 Mbit/s,1584.7949,09-02-2024 15:40,not_set
4242,3.47 Mbit/s,434310.5368,09-02-2024 14:04,not_Set,0.12 Mbit/s,14595.2825,09-02-2024 16:42,not_set
10739,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10739
10740,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10740
10742,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10742
10749,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10749
10774,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10774
10775,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10775
10751,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10751
10752,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10752
10753,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10753
10754,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10754
10755,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10755
10776,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10776
10777,,,,,,,,No non-NaN values found in 'Traffic Total (Speed)(RAW)' for ID 10777
7960,13 Mbit/s,1636207.932,09-02-2024 14:26,not_Set,3.57 Mbit/s,445641.2598,09-02-2024 19:10,not_set
7961,3.18 Mbit/s,397953.0833,09-02-2024 18:16,not_Set,0.05 Mbit/s,5667.1167,09-02-2024 17:46,not_set
